id,timestamp_utc,session_id,mmsi,latitude,longitude,speed_knots,course_deg,heading_deg,nav_status,message_type,ship_type_code,ship_name,ship_category,hour
11326,2026-06-08 20:51:51.236331+00:00,20260608_195523,538072206,36.76921,28.127523333333333,0.0,360.0,162.0,0,PositionReport,,,Unknown,20
11353,2026-06-08 20:51:57.114910+00:00,20260608_195523,518998972,37.03368666666667,27.42547666666667,0.0,0.0,511.0,5,PositionReport,37.0,ELSEA,Pleasure Craft,20
11358,2026-06-08 20:51:58.353467+00:00,20260608_195523,538010371,36.6182,26.64522,9.7,313.6,314.0,0,PositionReport,80.0,NISSOS SERIFOS,Tanker,20
11367,2026-06-08 20:51:59.848829+00:00,20260608_195523,249708000,36.78469166666666,27.15198333333333,0.0,64.6,2.0,1,PositionReport,,,Unknown,20
11371,2026-06-08 20:52:00.256318+00:00,20260608_195523,511101443,37.03217333333334,27.42632833333333,0.0,176.3,511.0,9,PositionReport,60.0,SEA STAR KOS,Passenger,20
11376,2026-06-08 20:52:00.597006+00:00,20260608_195523,271040379,36.850805,28.277518333333333,0.0,111.0,511.0,5,PositionReport,37.0,CIPITOUBA II,Pleasure Craft,20
11382,2026-06-08 20:52:02.719562+00:00,20260608_195523,341776000,36.47112833333333,28.172308333333334,11.3,274.4,273.0,0,PositionReport,60.0,BLUE SAPPHIRE,Passenger,20
11384,2026-06-08 20:52:02.971977+00:00,20260608_195523,271043459,36.82678666666666,28.56259,0.1,62.2,511.0,15,PositionReport,0.0,ADMIRAL,Unknown,20
11401,2026-06-08 20:52:09.724756+00:00,20260608_195523,273333500,36.50231,28.259426666666663,7.7,296.9,297.0,0,PositionReport,70.0,KAPITAN VORONKOV,Cargo,20
11420,2026-06-08 20:52:17.144781+00:00,20260608_195523,240563500,36.614205,27.13932,0.0,318.9,66.0,0,PositionReport,60.0,OLYMPIOS ERMIS,Passenger,20
11422,2026-06-08 20:52:17.890822+00:00,20260608_195523,319160400,36.59987666666667,27.94023,7.6,171.0,167.0,0,PositionReport,37.0,NEXUS,Pleasure Craft,20
